;This file was generated by make_test_image.py
;Identifier is the unique number written into each sector half
;All numbers in hexadecimal

;PET Track, PET Sector, PET Sector Half (0 or 1), Identifier
01,00,0,0000
01,00,1,0001
01,01,0,0002
01,01,1,0003
01,02,0,0004
01,02,1,0005
01,03,0,0006
01,03,1,0007
01,04,0,0008
01,04,1,0009
01,05,0,000A
01,05,1,000B
01,06,0,000C
01,06,1,000D
01,07,0,000E
01,07,1,000F
01,08,0,0010
01,08,1,0011
01,09,0,0012
01,09,1,0013
01,0A,0,0014
01,0A,1,0015
01,0B,0,0016
01,0B,1,0017
01,0C,0,0018
01,0C,1,0019
01,0D,0,001A
01,0D,1,001B
01,0E,0,001C
01,0E,1,001D
01,0F,0,001E
01,0F,1,001F
01,10,0,0020
01,10,1,0021
01,11,0,0022
01,11,1,0023
01,12,0,0024
01,12,1,0025
01,13,0,0026
01,13,1,0027
01,14,0,0028
01,14,1,0029
02,00,0,002A
02,00,1,002B
02,01,0,002C
02,01,1,002D
02,02,0,002E
02,02,1,002F
02,03,0,0030
02,03,1,0031
02,04,0,0032
02,04,1,0033
02,05,0,0034
02,05,1,0035
02,06,0,0036
02,06,1,0037
02,07,0,0038
02,07,1,0039
02,08,0,003A
02,08,1,003B
02,09,0,003C
02,09,1,003D
02,0A,0,003E
02,0A,1,003F
02,0B,0,0040
02,0B,1,0041
02,0C,0,0042
02,0C,1,0043
02,0D,0,0044
02,0D,1,0045
02,0E,0,0046
02,0E,1,0047
02,0F,0,0048
02,0F,1,0049
02,10,0,004A
02,10,1,004B
02,11,0,004C
02,11,1,004D
02,12,0,004E
02,12,1,004F
02,13,0,0050
02,13,1,0051
02,14,0,0052
02,14,1,0053
03,00,0,0054
03,00,1,0055
03,01,0,0056
03,01,1,0057
03,02,0,0058
03,02,1,0059
03,03,0,005A
03,03,1,005B
03,04,0,005C
03,04,1,005D
03,05,0,005E
03,05,1,005F
03,06,0,0060
03,06,1,0061
03,07,0,0062
03,07,1,0063
03,08,0,0064
03,08,1,0065
03,09,0,0066
03,09,1,0067
03,0A,0,0068
03,0A,1,0069
03,0B,0,006A
03,0B,1,006B
03,0C,0,006C
03,0C,1,006D
